"task_id","summary","week","module","priority","status","depends_on","deliverable","acceptance_criteria","milestone"
"W1-M01-01","初始化 Tauri 工程结构（前端壳+Rust Core）","Week1","M01","P0","TODO","","可运行工程骨架","macOS/Windows 均可本地启动主界面","Week1 里程碑"
"W1-M01-02","建立目录规范与模块边界（capture/edit/export/project/settings）","Week1","M01","P0","TODO","W1-M01-01","目录与模块说明文档","模块间接口清晰且避免循环依赖","Week1 里程碑"
"W1-M01-03","接入统一日志与错误码基础设施","Week1","M01","P0","TODO","W1-M01-01","日志模块与错误码枚举","支持 info/warn/error 且错误可追踪","Week1 里程碑"
"W1-M03-01","权限流程预研（屏幕录制/麦克风/系统音频）","Week1","M03","P0","TODO","W1-M01-01","平台权限能力表","明确 Windows/macOS 差异及降级路径","Week1 里程碑"
"W1-M02-01","采集技术 Spike（全屏/窗口采样可行性）","Week1","M02","P0","TODO","W1-M01-01","Spike 报告与 Demo","双平台可获取稳定视频帧","Week1 里程碑"
"W1-M02-02","音频采集 Spike（麦克风+系统音频路径验证）","Week1","M02","P0","TODO","W1-M03-01","Spike 报告","Windows 系统音频路径可行且 macOS 降级策略明确","Week1 里程碑"
"W1-M06-01","编码技术 Spike（H.264+Aac+MP4 封装验证）","Week1","M06","P0","TODO","W1-M01-01","Spike 报告与最小导出样片","可输出可播放 MP4 文件","Week1 里程碑"
"W1-M07-01","定义 project.json v1 草案（含 schemaVersion）","Week1","M07","P0","TODO","W1-M01-02","JSON Schema 草案","字段覆盖录制/编辑/镜头/导出基础配置","Week1 里程碑"
"W1-M08-01","搭建测试基建（单测+集成测试入口）","Week1","M08","P0","TODO","W1-M01-01","测试脚手架","本地可执行基础测试命令","Week1 里程碑"
"W2-M02-01","实现全屏录制能力（30fps 基线）","Week2","M02","P0","DONE","W1-M02-01","录制核心代码","5 分钟录制无崩溃且视频可播放","Week2 里程碑"
"W2-M02-02","实现窗口录制能力","Week2","M02","P0","DONE","W2-M02-01","窗口采集逻辑","指定窗口录制结果可用","Week2 里程碑"
"W2-M02-03","实现麦克风输入选择与采集","Week2","M02","P0","DONE","W1-M02-02","设备枚举与采集逻辑","用户可选择麦克风并成功录制","Week2 里程碑"
"W2-M03-02","接入 Windows 系统音频采集","Week2","M03","P0","DONE","W1-M02-02","Windows 音频采集实现","Windows 场景系统音频可录制","Week2 里程碑"
"W2-M03-03","实现 macOS 系统音频降级提示与继续流程","Week2","M03","P0","DONE","W1-M03-01","UI 提示与流程控制","不支持时提示准确且可继续录制","Week2 里程碑"
"W2-M02-04","实现录制控制（开始/暂停/继续/停止）","Week2","M02","P0","DONE","W2-M02-01","录制状态机实现","状态切换正确且无非法状态跳转","Week2 里程碑"
"W2-M02-05","实现全局快捷键（可配置）","Week2","M02","P0","DONE","W2-M02-04","快捷键配置模块","快捷键可触发且可持久化","Week2 里程碑"
"W2-M04-01","实现录制状态 UI（时长/输入源/状态）","Week2","M04","P0","DONE","W2-M02-04","录制页 UI","录制状态实时可见且无错乱","Week2 里程碑"
"W2-M07-02","录制产物落盘与项目初始化","Week2","M07","P0","DONE","W2-M02-04|W1-M07-01","project.json 与 assets 初版写入","停止录制后生成可读取项目","Week2 里程碑"
"W2-M08-02","录制流程集成测试（主路径+降级路径）","Week2","M08","P0","DONE","W2-M02-01|W2-M02-02|W2-M02-03|W2-M03-02|W2-M03-03|W2-M02-04|W2-M02-05|W2-M04-01|W2-M07-02","录制流程测试用例","双平台主流程回归通过","Week2 里程碑"
"W3-M04-02","实现时间线头尾裁剪能力","Week3","M04","P0","DONE","W2-M07-02","裁剪逻辑","裁剪区间可视化且结果正确","Week3 里程碑"
"W3-M04-03","实现画布比例切换（16:9/9:16/1:1）","Week3","M04","P0","DONE","W3-M04-02","比例转换逻辑","预览比例切换正确","Week3 里程碑"
"W3-M04-04","实现光标高亮开关（基础样式）","Week3","M04","P0","DONE","W3-M04-02","光标渲染增强","开关生效且导出可见","Week3 里程碑"
"W3-M04-05","实现编辑预览渲染管线 v1","Week3","M04","P0","DONE","W3-M04-02","预览渲染模块","参数改动后预览可即时更新","Week3 里程碑"
"W3-M05-01","实现鼠标轨迹采样与关注区域计算","Week3","M05","P0","DONE","W2-M07-02","轨迹处理模块","可生成连续关注区域轨迹","Week3 里程碑"
"W3-M05-02","实现平滑缩放/平移算法 v1（含强度档）","Week3","M05","P0","DONE","W3-M05-01","算法实现","低中高档位行为可区分","Week3 里程碑"
"W3-M05-03","实现镜头运动参数面板（开关/强度）","Week3","M05","P0","DONE","W3-M05-02","设置 UI 与状态绑定","参数修改可即时影响预览","Week3 里程碑"
"W3-M05-04","实现镜头质量指标测试样例（时延/抖动）","Week3","M05","P0","DONE","W3-M05-02","指标测试脚本","可输出时延与稳定性结果","Week3 里程碑"
"W3-M07-03","编辑参数写回 project.json","Week3","M07","P0","DONE","W3-M04-05|W3-M05-03","项目持久化逻辑","重新打开项目后参数一致","Week3 里程碑"
"W3-M08-03","编辑与镜头运动回归测试","Week3","M08","P0","DONE","W3-M04-02|W3-M04-03|W3-M04-04|W3-M04-05|W3-M05-01|W3-M05-02|W3-M05-03|W3-M05-04|W3-M07-03","测试用例","主流程测试通过且核心缺陷闭环","Week3 里程碑"
"W4-M06-02","实现导出任务编排（读取项目+渲染参数）","Week4","M06","P0","DONE","W3-M07-03","导出编排模块","导出前配置解析正确","Week4 里程碑"
"W4-M06-03","实现 H.264/AAC 导出（1080p/720p）","Week4","M06","P0","DONE","W1-M06-01|W4-M06-02","编码管线","导出文件可播放且参数正确","Week4 里程碑"
"W4-M06-04","实现硬件编码优先与软件编码回退","Week4","M06","P0","DONE","W4-M06-03","回退策略实现","强制硬编失败可自动回退成功","Week4 里程碑"
"W4-M06-05","实现导出进度与状态事件通道","Week4","M06","P0","DONE","W4-M06-02","进度事件 API","UI 可实时展示导出进度","Week4 里程碑"
"W4-M06-06","实现导出失败分类与错误文案（权限/空间/编码）","Week4","M06","P0","DONE","W4-M06-03","错误映射表","用户可见明确可操作提示","Week4 里程碑"
"W4-M06-07","实现导出重试机制（不需重录）","Week4","M06","P0","DONE","W4-M06-06","重试逻辑","修复环境后可直接重试成功","Week4 里程碑"
"W4-M04-06","整合编辑页导出交互","Week4","M04","P0","DONE","W4-M06-05","导出 UI 流程","用户可一键导出并跟踪状态","Week4 里程碑"
"W4-M08-04","导出稳定性测试（标准样例 20 条）","Week4","M08","P0","DONE","W4-M06-02|W4-M06-03|W4-M06-04|W4-M06-05|W4-M06-06|W4-M06-07|W4-M04-06","测试报告","导出成功率达到 >=95%","Week4 里程碑"
"W4-M07-04","实现导出日志与产物落盘规范","Week4","M07","P0","DONE","W4-M06-06","renders 与日志规范","失败时保留可复现信息","Week4 里程碑"
"W5-M08-05","长时录制稳定性测试（30 分钟）","Week5","M08","P0","DONE","W2-M02-01|W2-M02-02|W2-M02-03|W2-M02-04","稳定性报告","无崩溃且内存无异常增长","Week5 里程碑"
"W5-M08-06","A/V 同步测试与校正策略","Week5","M08","P0","DONE","W4-M06-03","同步测试报告与修复","30 分钟偏移绝对值 <=100ms","Week5 里程碑"
"W5-M08-07","掉帧率测试与性能调优","Week5","M08","P0","DONE","W2-M02-01|W4-M06-03","性能报告","平均掉帧 <=2% 且峰值 <=5%","Week5 里程碑"
"W5-M05-05","镜头运动参数调优（默认值定版）","Week5","M05","P0","DONE","W3-M05-04","参数基线","满足时延与稳定性指标","Week5 里程碑"
"W5-M07-05","实现 schemaVersion 读取与迁移机制","Week5","M07","P0","DONE","W1-M07-01","迁移逻辑","低版本可迁移且高版本保护性失败","Week5 里程碑"
"W5-M07-06","实现异常恢复流程（未完成项目检测/恢复入口）","Week5","M07","P0","DONE","W2-M07-02","恢复流程实现","中断重启后可恢复或给出明确提示","Week5 里程碑"
"W5-M06-08","导出异常场景回归（权限/空间/中断）","Week5","M06","P0","DONE","W4-M06-06","回归测试报告","错误提示与重试路径有效","Week5 里程碑"
"W5-M08-08","回归测试冻结与缺陷收敛","Week5","M08","P0","DONE","W5-M08-05|W5-M08-06|W5-M08-07|W5-M05-05|W5-M07-05|W5-M07-06|W5-M06-08","缺陷清单","P0 阻塞缺陷清零","Week5 里程碑"
"W6-M09-01","完善 README（定位/安装/开发/路线图）","Week6","M09","P0","TODO","W5-M08-08","README","新开发者可按文档启动项目","Week6 里程碑"
"W6-M09-02","完成 LICENSE 与 CONTRIBUTING","Week6","M09","P0","TODO","W6-M09-01","协作文档","许可证清晰且贡献流程明确","Week6 里程碑"
"W6-M09-03","配置 Issue/PR 模板与基础治理规则","Week6","M09","P0","TODO","W6-M09-02","模板文件","缺陷和需求提交结构化","Week6 里程碑"
"W6-M09-04","产出 macOS/Windows 发布包","Week6","M09","P0","TODO","W5-M08-08","安装包","双平台可安装启动","Week6 里程碑"
"W6-M08-09","新机器冷启动与安装烟测","Week6","M08","P0","TODO","W6-M09-04","烟测报告","首次启动与主流程可用","Week6 里程碑"
"W6-M09-05","发布说明与已知限制清单","Week6","M09","P0","TODO","W6-M08-09","Release Notes","风险与限制透明可见","Week6 里程碑"
"W6-M09-06","开源首发（仓库公开与版本打标）","Week6","M09","P0","TODO","W6-M09-05","v0.1.0-mvp 发布","用户可下载并完成主流程","Week6 里程碑"
"W6-M09-07","P1 余量任务评估（可选）","Week6","M09","P1","TODO","W6-M09-06","余量评估结论","仅在不影响发布质量时执行","Week6 里程碑"
